_id,id,genres,rating,release_date,runtime,source,summary,title,type
685682fc8482e0a7a00725d9,tvmaze_1,"Drama, Science-Fiction, Thriller",6.5,2013-06-24,60,tvmaze,"Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away.",Under the Dome,tvshow
685682fc8482e0a7a00725da,tvmaze_5,"Drama, Crime, Thriller",8.1,2014-01-12,60,tvmaze,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.True Detective is an American anthology crime drama television series created and written by Nic Pizzolatto.,True Detective,tvshow
685682fc8482e0a7a00725db,tvmaze_6,"Action, Adventure, Science-Fiction",7.7,2014-03-19,60,tvmaze,"Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable.",The 100,tvshow
685682fc8482e0a7a00725dc,tvmaze_12,"Drama, Fantasy, Horror",8.0,2010-09-12,60,tvmaze,"Lost Girl follows supernatural seductress Bo, a Succubus who feeds on the sexual energy of humans. Growing up with human parents, Bo had no reason to believe she was anything other than the girl next door — until she drained her boyfriend to death in their first sexual encounter. Now she has hit the road alone and afraid.  She discovers she is one of the Fae, creatures of legend and folklore, who pass as humans while feeding off them secretly and in different ways, as they have for millennia. Relieved yet horrified to find out that she is not alone, Bo decides to take the middle path between the humans and the Fae while embarking on a personal mission to unlock the secrets of her origin.With the help of her human sidekick, Kenzi, and Dyson, a sexy police detective, Bo takes on a challenge every week helping a Fae or human client who comes to her to solve a mystery, or to right a wrong.",Lost Girl,tvshow
685682fc8482e0a7a00725dd,tvmaze_13,"Drama, Action, Science-Fiction",7.5,2014-10-07,60,tvmaze,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash!",The Flash,tvshow
685682fc8482e0a7a00725de,tvmaze_14,"Drama, Crime, Science-Fiction",8.0,2012-05-27,60,tvmaze,"Continuum centers on the conflict between a group of rebels from the year 2077 who time-travel to Vancouver, BC, in 2012, and a police officer who accidentally accompanies them. In spite of being many years early, the rebel group decides to continue its violent campaign to stop corporations of the future from replacing governments, while the police officer endeavours to stop them without revealing to anyone that she and the rebels are from the future.",Continuum,tvshow
685682fc8482e0a7a00725df,tvmaze_22,"Drama, Romance, Supernatural",7.9,2008-09-07,60,tvmaze,"True Blood is a horror/drama based on a series of novels called The Southern American Vampires Mysteries. It focuses on Sookie Stackhouse and her various encounters with vampires and other supernatural beings. The show is centred in the small town of Bon Temps in Louisiana. The show focuses heavily on the co-existence of humans with vampires. The show also touches on several other controversial issues involving equal rights, violence, discrimination and religion.",True Blood,tvshow
685682fc8482e0a7a00725e0,tvmaze_31,"Action, Adventure, Science-Fiction",8.0,2013-09-24,60,tvmaze,"Phil Coulson heads an elite team of fellow agents with the worldwide law-enforcement organization known as S.H.I.E.L.D. (Strategic Homeland Intervention Enforcement and Logistics Division), as they investigate strange occurrences around the globe. Its members -- each of whom brings a specialty to the group -- work with Coulson to protect those who cannot protect themselves from extraordinary and inconceivable threats.",Marvel's Agents of S.H.I.E.L.D.,tvshow
685682fc8482e0a7a00725e1,tvmaze_33,"Drama, Horror, Thriller",7.0,2013-04-19,0,tvmaze,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",Hemlock Grove,tvshow
685682fc8482e0a7a00725e2,tvmaze_34,"Horror, Science-Fiction, Thriller",6.5,2014-01-10,60,tvmaze,Helix is a science fiction thriller that focuses on a CDC expedition into the arctic. They go there to investigate the potential outbreak of a disease with no idea what they are getting themselves into. They encounter an almost zombie-like threat that could threaten mankind itself whilst the operator of the facility seems to know more than what he is saying.,Helix,tvshow
